crop_id,image_id,label,org,scene_context,reviewer,updated_at,town,stage2_raw,stage2_full,stage2_source,band,stage1_prob,stage1_route,validation_role,selection_status,legacy_row,in_sensitivity_088,n_crops_at_site,site_id
5x2ltszsE0zKkMMh_ufUIg_300_box0.jpg,5x2ltszsE0zKkMMh_ufUIg_300,,,,,,BELFAST CITY,0.6246547102928162,0.6176344265577858,v3_downloads_2025,abstain_high,0.0011416983325034,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,3.0,5x2ltszsE0zKkMMh_ufUIg
78eMq2NcA95ku78GOuF-2g_240_box4.jpg,78eMq2NcA95ku78GOuF-2g_240,,,,,,METROPOLITAN CASTLEREAGH,0.5312274694442749,0.5294028098395345,v3_downloads_2025,abstain_high,0.6319383978843689,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,11.0,78eMq2NcA95ku78GOuF-2g
7qjsuFcu-KtKJOfp_mF08w_300_box6.jpg,7qjsuFcu-KtKJOfp_mF08w_300,,,,,,METROPOLITAN NEWTOWNABBEY,0.7673863172531128,0.7546745327632818,v3_downloads_2025,abstain_high,0.005512663628906,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,22.0,7qjsuFcu-KtKJOfp_mF08w
8sqDnvlk_G3GGxZUR4djTg_240_box2.jpg,8sqDnvlk_G3GGxZUR4djTg_240,,,,,,METROPOLITAN CASTLEREAGH,0.7611698508262634,0.7486103585242483,v3_downloads_2025,abstain_high,0.1492827534675598,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,5.0,8sqDnvlk_G3GGxZUR4djTg
BT_WDz-xACzegzR_UW59ug_060_box3.jpg,BT_WDz-xACzegzR_UW59ug_060,,,,,,BELFAST CITY,0.5470445156097412,0.5443039858060609,v3_downloads_2025,abstain_high,0.0012845754390582,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,23.0,BT_WDz-xACzegzR_UW59ug
BvpqOSs5YHAjjyOlaaDyTQ_180_box4.jpg,BvpqOSs5YHAjjyOlaaDyTQ_180,,,,,,BELFAST CITY,0.7779027819633484,0.7649602026302919,v3_downloads_2025,abstain_high,0.0024472570512443,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,9.0,BvpqOSs5YHAjjyOlaaDyTQ
C13X4nhI10wSg_kEgzZr8Q_300_box1.jpg,C13X4nhI10wSg_kEgzZr8Q_300,,,,,,BELFAST CITY,0.6179202795028687,0.6112509413307969,v3_downloads_2025,abstain_high,0.0047445963136851,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,15.0,C13X4nhI10wSg_kEgzZr8Q
Gtw_hfs4BudPXbFGzOqlHA_120_box0.jpg,Gtw_hfs4BudPXbFGzOqlHA_120,,,,,,BELFAST CITY,0.7050510048866272,0.6943266238996346,v3_downloads_2025,abstain_high,0.0792595669627189,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,15.0,Gtw_hfs4BudPXbFGzOqlHA
LGmn6NqMrLxG4ODvoizLhA_240_box2.jpg,LGmn6NqMrLxG4ODvoizLhA_240,,,,,,BELFAST CITY,0.5947592854499817,0.5893317182353375,v3_downloads_2025,abstain_high,0.6982828974723816,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,24.0,LGmn6NqMrLxG4ODvoizLhA
OAKXbpCucuqGAIlSooJdvQ_180_box1.jpg,OAKXbpCucuqGAIlSooJdvQ_180,,,,,,METROPOLITAN CASTLEREAGH,0.6138660311698914,0.6074103025055756,v3_downloads_2025,abstain_high,0.001289561507292,pass,cascade_primary_abstain_high,downloads_2025_transfer_audit,,,2.0,OAKXbpCucuqGAIlSooJdvQ
